date,,timestamp,open,high,low,close,volume,test,date,time,vwap
2021-04-13,108,2021-04-13 12:00:00+05:30,712.65,714.6,710.1,712.25,372862,0,2021-04-13,12:00:00+05:30,726.2028968059542
2021-04-13,109,2021-04-13 12:05:00+05:30,712.2,713.6,707.45,709.35,464047,0,2021-04-13,12:05:00+05:30,725.9363518575392
2021-04-13,110,2021-04-13 12:10:00+05:30,709.25,711.45,707.3,710.3,302148,0,2021-04-13,12:10:00+05:30,725.7769697435959
2021-04-13,111,2021-04-13 12:15:00+05:30,710.3,712.4,708.4,710.25,237064,0,2021-04-13,12:15:00+05:30,725.6537792153614
2021-04-13,112,2021-04-13 12:20:00+05:30,710.0,711.45,709.45,711.3,188971,0,2021-04-13,12:20:00+05:30,725.5635705167513
2021-04-13,113,2021-04-13 12:25:00+05:30,711.45,714.0,711.3,712.55,438311,0,2021-04-13,12:25:00+05:30,725.3765966954948
2021-04-13,114,2021-04-13 12:30:00+05:30,712.75,717.3,712.35,715.4,576735,0,2021-04-13,12:30:00+05:30,725.191487938089
2021-04-13,115,2021-04-13 12:35:00+05:30,715.4,716.95,712.6,714.35,354306,0,2021-04-13,12:35:00+05:30,725.0693042177256
2021-04-13,116,2021-04-13 12:40:00+05:30,714.25,719.7,713.2,717.95,594951,0,2021-04-13,12:40:00+05:30,724.9370764575746
2021-04-13,117,2021-04-13 12:45:00+05:30,717.95,720.0,717.0,718.7,647704,0,2021-04-13,12:45:00+05:30,724.8134624408436
2021-04-13,118,2021-04-13 12:50:00+05:30,718.7,719.2,715.6,717.85,429177,0,2021-04-13,12:50:00+05:30,724.7232003242547
2021-04-13,119,2021-04-13 12:55:00+05:30,717.8,718.5,715.0,717.0,327228,0,2021-04-13,12:55:00+05:30,724.6476179590045
2021-04-13,120,2021-04-13 13:00:00+05:30,717.0,717.1,711.45,711.6,406206,0,2021-04-13,13:00:00+05:30,724.4910127894509
2021-04-13,121,2021-04-13 13:05:00+05:30,711.6,713.55,710.1,712.2,361647,0,2021-04-13,13:05:00+05:30,724.3610602309011
2021-04-13,122,2021-04-13 13:10:00+05:30,712.2,712.85,709.0,709.55,342069,0,2021-04-13,13:10:00+05:30,724.2144073726398
2021-04-13,123,2021-04-13 13:15:00+05:30,709.6,712.45,709.0,709.0,416703,0,2021-04-13,13:15:00+05:30,724.0330792192216
2021-04-13,124,2021-04-13 13:20:00+05:30,709.0,711.3,708.5,708.65,239866,0,2021-04-13,13:20:00+05:30,723.928263538026
2021-04-13,125,2021-04-13 13:25:00+05:30,708.5,709.9,702.0,702.45,957297,0,2021-04-13,13:25:00+05:30,723.3596620355543
2021-04-13,126,2021-04-13 13:30:00+05:30,702.45,709.4,702.1,709.05,676980,0,2021-04-13,13:30:00+05:30,723.0966885695512
2021-04-13,127,2021-04-13 13:35:00+05:30,709.1,711.0,707.7,708.25,415814,0,2021-04-13,13:35:00+05:30,722.9309740003512
